Name,Mass (MJ),Radius (RJ),Distance (ly)
Kepler-966b,0.368,99.747622,
Kepler-967b,0.21,13.22713379,
Kepler-967c,0.326,198.7112502,
Kepler-968b,0.178,3.69298373,
Kepler-968c,0.151,5.70940492,
Kepler-969b,0.185,34.1731714,
Kepler-969c,0.088,1.6829346,
Kepler-970b,0.247,16.73652231,
Kepler-971b,0.19,9.59070716,
Kepler-972b,0.415,7.03932553,
Kepler-973b,0.175,49.6077331,
Kepler-974b,0.14,4.19449651,
Kepler-975b,0.132,1.97034246,
Kepler-976b,0.353,105.9564148,
Kepler-977b,0.234,26.85328322,
Kepler-978b,0.267,49.6221509,
Kepler-979b,0.243,8.0880135,
Kepler-980b,0.238,11.55102504,
Kepler-981b,0.206,4.46975774,
Kepler-982b,0.201,15.7738221,
Kepler-983b,0.211,60.0855082,
Kepler-984b,0.189,43.0342272,
Kepler-985b,0.266,116.331901,
Kepler-986b,0.211,56.4349938,
Kepler-987b,0.291,105.3033148,
Kepler-988b,0.185,17.76080053,
Kepler-989b,0.197,7.96431535,
Kepler-990b,0.232,9.91723428,
Kepler-990c,0.136,0.53835431,
Kepler-991b,0.227,82.5342519,
Kepler-992b,0.145,20.16034462,
Kepler-993b,0.265,22.08557563,
Kepler-994b,0.143,1.15116651,
Kepler-995b,0.241,28.26731672,
Kepler-996b,0.177,3.77059058,
Kepler-997b,0.121,2.70730672,
Kepler-998b,0.207,5.65377733,
Kepler-999b,0.209,5.99185702,
Kepler-1000b,0.425,120.0181272,
Kepler-1001b,0.281,14.30511983,
Kepler-1002b,0.153,4.33642933,
Kepler-1003b,0.159,3.55485691,
Kepler-1004b,0.56,5.28789787,
Kepler-1005b,0.134,6.49801525,
Kepler-1006b,0.137,19.76172042,
Kepler-1007b,0.128,5.18500207,
Kepler-1008b,0.114,12.43931193,
Kepler-1009b,0.194,11.35011917,
Kepler-1010b,0.207,34.2685705,
Kepler-1011b,0.256,5.75322197,
Kepler-1012b,0.115,5.50860439,
Kepler-1013b,0.192,18.93054959,
Kepler-1014b,0.213,16.57110363,
Kepler-1015b,0.317,16.00494214,
Kepler-1016b,0.194,1.95452434,
Kepler-1016c,0.328,105.6551369,
Kepler-1017b,0.178,7.23400469,
Kepler-1018b,0.23,49.1013514,
Kepler-1019b,0.13,1.41122985,
Kepler-1020b,0.203,96.9151496,
Kepler-1021b,0.208,13.47469571,
Kepler-1022b,0.211,10.99469878,
Kepler-1023b,0.235,62.1387714,
Kepler-1024b,0.349,66.4162133,
Kepler-1025b,0.177,37.3229493,
Kepler-1026b,0.197,36.5156053,
Kepler-1027b,0.079,1.9078052,
Kepler-1028b,0.119,2.51462432,
Kepler-1029b,0.112,4.41769648,
Kepler-1030b,0.221,19.32952416,
Kepler-1031b,0.078,1.22621732,
Kepler-1032b,0.167,3.29011795,
Kepler-1033b,0.224,7.56052806,
Kepler-1034b,0.202,12.12400943,
Kepler-1035b,0.104,2.71407755,
Kepler-1036b,0.269,122.8808058,
Kepler-1037b,0.114,1.06378867,
Kepler-1038b,0.315,148.4603382,
Kepler-1039b,0.13,0.93488424,
Kepler-1040b,0.186,201.1214,
Kepler-1041b,0.262,24.7576421,
Kepler-1042b,0.195,10.13202575,
Kepler-1043b,0.227,38.5053398,
Kepler-1044b,0.238,6.77408868,
Kepler-1045b,0.24,26.41045478,
Kepler-1046b,0.153,14.37508035,
Kepler-1047b,0.186,56.1886887,
Kepler-1047c,0.088,3.18897601,
Kepler-1048b,0.144,6.92101021,
Kepler-1049b,0.085,3.27346074,
Kepler-1050b,0.143,15.3787546,
Kepler-1050c,0.132,21.1284569,
Kepler-1051b,0.303,25.96200249,
Kepler-1052b,0.261,34.8538276,
Kepler-1053b,0.087,2.41435165,
Kepler-1054b,0.235,4.30655689,
Kepler-1055b,0.11,2.29503623,
Kepler-1056b,0.269,27.495606,
Kepler-1057b,0.3,14.08827448,
Kepler-1058b,0.243,110.96546,
Kepler-1059b,0.154,3.76419105,
Kepler-1060b,0.212,46.8779367,
Kepler-1061b,0.177,2.75798267,
Kepler-1062b,0.157,9.30412078,
Kepler-1063b,0.133,14.07971466,
Kepler-1064b,0.138,16.54080322,
Kepler-1065b,0.333,3.60930891,
Kepler-1065c,0.143,2.37030743,
Kepler-1066b,0.211,1.93155984,
Kepler-1067b,0.071,0.76212926,
Kepler-1068b,0.324,16.92344113,
Kepler-1069b,0.143,23.8990296,
Kepler-1070b,0.154,6.2216147,
Kepler-1071b,0.212,6.1799844,
Kepler-1072b,0.141,1.5690665,
Kepler-1073b,0.205,8.67888593,
Kepler-1073c,0.146,4.02582254,
Kepler-1074b,0.112,5.94566534,
Kepler-1075b,0.127,1.52372816,
Kepler-1076b,0.071,6.14727918,
Kepler-1077b,0.247,34.3511874,
Kepler-1078b,0.17,3.00725242,
Kepler-1079b,0.145,13.24503188,
Kepler-1080b,0.293,77.2548396,
Kepler-1081b,0.09,3.85691855,
Kepler-1082b,0.1,1.5432066,
Kepler-1083b,0.3,33.4177993,
Kepler-1084b,0.099,2.05333679,
Kepler-1085b,0.644,219.3217528,
Kepler-1086b,0.218,18.78425728,
Kepler-1086c,0.262,161.5163345,
Kepler-1087b,0.054,0.69384285,
Kepler-1088b,0.127,23.12748644,
Kepler-1089b,0.163,5.13248562,
Kepler-1090b,0.201,198.680179,
Kepler-1091b,0.13,1.43474156,
Kepler-1092b,0.185,58.6017925,
Kepler-1093b,0.174,25.0824626,
Kepler-1093c,0.175,89.722292,
Kepler-1094b,0.284,78.1000231,
Kepler-1095b,0.108,4.27103091,
Kepler-1096b,0.111,2.89221751,
Kepler-1097b,0.291,187.747029,
Kepler-1098b,0.116,2.54307286,
Kepler-1099b,0.252,2.16845259,
Kepler-1100b,0.156,6.42200058,
Kepler-1101b,0.22,81.3151059,
Kepler-1102b,0.237,51.3285623,
Kepler-1103b,0.203,19.79191978,
Kepler-1104b,0.11,5.03728015,
Kepler-1105b,0.179,4.42157218,
Kepler-1106b,0.147,1.25275217,
Kepler-1107b,0.12,0.57103852,
Kepler-1108b,0.13,4.51005748,
Kepler-1109b,0.195,37.6467384,
Kepler-1110b,0.237,9.69312032,
Kepler-1111b,0.178,8.79617863,
Kepler-1112b,0.269,14.36267939,
Kepler-1113b,0.251,42.3004954,
Kepler-1114b,0.12,14.97435694,
Kepler-1115b,0.152,23.5540725,
Kepler-1116b,0.227,41.6977827,
Kepler-1117b,0.099,4.79028459,
Kepler-1118b,0.244,38.6715075,
Kepler-1119b,0.171,8.3265153,
Kepler-1120b,0.123,2.94902905,
Kepler-1121b,0.17,13.15141081,
Kepler-1122b,0.182,42.1917357,
Kepler-1123b,0.149,4.33946454,
Kepler-1124b,0.114,2.85234897,
Kepler-1125b,0.164,17.6700642,
Kepler-1126b,0.154,108.593329,
Kepler-1127b,0.175,5.12330347,
Kepler-1128b,0.326,61.6178167,
Kepler-1129b,0.264,24.3397804,
Kepler-1129c,0.244,76.5369586,
Kepler-1130b,0.071,5.45298175,
Kepler-1131b,0.142,3.53232449,
Kepler-1132b,0.21,62.8916228,
Kepler-1133b,0.176,11.55562343,
Kepler-1134b,0.236,17.13263989,
Kepler-1135b,0.165,76.957857,
Kepler-1136b,0.146,2.36172433,
Kepler-1137b,0.196,23.9210791,
Kepler-1138b,0.152,3.17060005,
Kepler-1139b,0.106,0.81316672,
Kepler-1140b,0.247,24.0862707,
Kepler-1141b,0.073,2.34451194,
Kepler-1142b,0.131,18.3027248,
Kepler-1143b,0.149,2.88890485,
Kepler-1143c,0.321,210.630591,
Kepler-1144b,0.178,17.14647302,
Kepler-1145b,0.125,3.97076766,
Kepler-1146b,0.11,2.3522658,
Kepler-1147b,0.233,10.62784997,
Kepler-1148b,0.151,1.10446351,
Kepler-1149b,0.128,3.73089898,
Kepler-1150b,0.091,2.78786839,
Kepler-1151b,0.198,65.6478424,
Kepler-1152b,0.078,1.64680191,
Kepler-1153b,0.154,1.75583533,
Kepler-1154b,0.209,5.1856142,
Kepler-1154c,0.211,8.45808312,
Kepler-1155b,0.181,33.469743,
Kepler-1156b,0.118,11.89520511,
Kepler-1157b,0.097,4.45743164,
Kepler-1158b,0.209,13.5396293,
Kepler-1159b,0.211,22.70816791,
Kepler-1160b,0.191,7.97034958,
Kepler-1161b,0.19,10.71252541,
Kepler-1162b,0.197,32.5637069,
Kepler-1163b,0.092,6.11786898,
Kepler-1164b,0.1,3.97599768,
Kepler-1165b,0.138,9.478522,
Kepler-1166b,0.151,33.2406882,
Kepler-1167b,0.153,1.00393374,
Kepler-1168b,0.223,55.8226539,
Kepler-1169b,0.084,6.11009134,
Kepler-1170b,0.215,9.98969327,
Kepler-1171b,0.228,1.44259224,
Kepler-1172b,0.285,26.0204423,
Kepler-1173b,0.079,0.7698536,
Kepler-1174b,0.142,6.89225223,
Kepler-1175b,0.267,37.94563,
Kepler-1176b,0.219,24.1738579,
Kepler-1177b,0.17,106.247547,
Kepler-1178b,0.095,31.80634,
Kepler-1179b,0.118,2.68505749,
Kepler-1180b,0.178,16.8601286,
Kepler-1181b,0.14,4.89337519,
Kepler-1182b,0.215,11.17394617,
Kepler-1183b,0.252,28.5057189,
Kepler-1184b,0.239,53.5991044,
Kepler-1185b,0.119,104.3518976,
Kepler-1186b,0.199,16.07677615,
Kepler-1187b,0.233,18.87064068,
Kepler-1188b,0.186,17.1369543,
Kepler-1189b,0.158,3.78858982,
Kepler-1190b,0.119,10.45843441,
Kepler-1191b,0.135,5.60014851,
Kepler-1192b,0.211,25.2034787,
Kepler-1193b,0.118,2.83265213,
Kepler-1194b,0.135,16.22371307,
Kepler-1195b,0.186,8.49642241,
Kepler-1196b,0.199,66.1849031,
Kepler-1197b,0.112,2.03231845,
Kepler-1198b,0.131,7.6847716,
Kepler-1199b,0.103,15.0447198,
Kepler-1200b,0.095,1.11854972,
Kepler-1201b,0.204,15.18725932,
Kepler-1202b,0.262,28.6851324,
Kepler-1203b,0.095,0.58800076,
Kepler-1204b,0.272,85.7350285,
Kepler-1205b,0.126,1.07839035,
Kepler-1206b,0.146,1.21699766,
Kepler-1207b,0.145,13.68237119,
Kepler-1208b,0.207,11.08507637,
Kepler-1209b,0.135,25.369116,
Kepler-1210b,0.152,8.07124073,
Kepler-1211b,0.227,11.01816836,
Kepler-1212b,0.191,12.94130146,
Kepler-1213b,0.106,5.34982412,
Kepler-1214b,0.211,18.82634264,
Kepler-1215b,0.109,4.76703963,
Kepler-1216b,0.124,4.37034536,
Kepler-1217b,0.178,2.03232507,
Kepler-1218b,0.128,22.9221266,
Kepler-1219b,0.189,16.10467749,
Kepler-1220b,0.136,7.42693741,
Kepler-1221b,0.168,12.00096042,
Kepler-1222b,0.07,1.91694425,
Kepler-1223b,0.109,16.301259,
Kepler-1224b,0.119,13.32351601,
Kepler-1225b,0.162,7.01075434,
Kepler-1226b,0.129,17.2923453,
Kepler-1227b,0.204,94.2887577,
Kepler-1228b,0.137,0.57736958,
Kepler-1229b,0.125,86.828989,
Kepler-1230b,0.242,9.95661537,
Kepler-1231b,0.127,10.41725184,
Kepler-1232b,0.172,26.7839183,
Kepler-1233b,0.232,45.1263042,
Kepler-1234b,0.251,11.94014029,
Kepler-1235b,0.07,4.16055856,
Kepler-1236b,0.191,31.0571618,
Kepler-1237b,0.255,84.5733226,
Kepler-1238b,0.172,4.14787559,
Kepler-1239b,0.259,5.19104016,
Kepler-1240b,0.103,4.8663815,
Kepler-1241b,0.235,18.5525701,
Kepler-1242b,0.202,13.62798432,
Kepler-1243b,0.156,16.8320729,
Kepler-1244b,0.12,3.70428172,
Kepler-1245b,0.128,4.35409304,
Kepler-1245c,0.128,2.93658468,
Kepler-1246b,0.121,11.32271513,
Kepler-1247b,0.208,13.71220213,
Kepler-1248b,0.105,7.46725407,
Kepler-1249b,0.212,24.3347127,
Kepler-1250b,0.171,2.60754383,
Kepler-1251b,0.164,45.0904643,
Kepler-1252b,0.149,15.0540329,
Kepler-1253b,0.119,68.8861915,
Kepler-1254b,0.138,9.99113313,
Kepler-1254c,0.116,3.60084276,
Kepler-1254d,0.117,5.72717226,
Kepler-1255b,0.207,36.2919336,
Kepler-1256b,0.133,12.4127754,
Kepler-1257b,0.136,2.66831376,
Kepler-1258b,0.077,0.98494017,
Kepler-1259b,0.128,0.66308526,
Kepler-1260b,0.158,19.1187753,
Kepler-1261b,0.202,48.4308991,
Kepler-1262b,0.162,8.67900242,
Kepler-1263b,0.102,4.55139967,
Kepler-1264b,0.105,0.96852602,
Kepler-1265b,0.12,6.49441289,
Kepler-1266b,0.23,28.474748,
Kepler-1267b,0.269,13.0313945,
Kepler-1268b,0.181,40.9903986,
Kepler-1269b,0.145,37.3331536,
Kepler-1270b,0.296,6.03356196,
Kepler-1271b,0.132,3.0255955,
Kepler-1272b,0.211,51.1309704,
Kepler-1273b,0.222,28.625653,
Kepler-1274b,0.127,6.98152703,
Kepler-1275b,0.132,3.65691115,
Kepler-1276b,0.106,12.5720095,
Kepler-1277b,0.143,40.8365012,
Kepler-1278b,0.09,3.23941344,
Kepler-1279b,0.156,23.4774101,
Kepler-1280b,0.167,66.5579057,
Kepler-1281b,0.146,3.11602791,
Kepler-1282b,0.138,2.13194651,
Kepler-1283b,0.17,12.9460978,
Kepler-1284b,0.108,0.66407381,
Kepler-1285b,0.087,14.7967458,
Kepler-1286b,0.192,11.25402929,
Kepler-1287b,0.137,11.47685909,
Kepler-1288b,0.1,2.76122421,
Kepler-1289b,0.136,7.99019627,
Kepler-1290b,0.127,4.69500134,
Kepler-1291b,0.148,8.63043276,
Kepler-1292b,0.162,3.27646405,
Kepler-1293b,0.087,5.57654784,
Kepler-1294b,0.285,115.6862258,
Kepler-1295b,0.138,3.81371974,
Kepler-1296b,0.081,8.3839865,
Kepler-1297b,0.087,1.68189002,
Kepler-1298b,0.117,7.12811928,
Kepler-1299b,0.266,19.9400874,
Kepler-1300b,0.122,22.2419092,
Kepler-1301b,0.125,9.08237046,
Kepler-1302b,0.128,8.83922659,
Kepler-1303b,0.127,7.56127224,
Kepler-1304b,0.204,16.1288853,
Kepler-1305b,0.168,13.5630972,
Kepler-1306b,0.17,16.29595382,
Kepler-1307b,0.22,18.01621096,
Kepler-1308b,0.046,2.10433812,
Kepler-1309b,0.211,28.8432647,
Kepler-1310b,0.128,0.67933627,
Kepler-1311b,0.111,11.1726994,
Kepler-1311c,0.109,2.53573424,
Kepler-1312b,0.187,5.44832529,
Kepler-1313b,0.157,3.83309118,
Kepler-1314b,0.456,5.42474928,
Kepler-1315b,0.123,0.84338011,
Kepler-1316b,0.316,87.9732136,
Kepler-1317b,0.139,0.56887443,
Kepler-1318b,0.277,213.257663,
Kepler-1319b,0.12,2.88676265,
Kepler-1320b,0.152,0.86838653,
Kepler-1321b,0.439,11.12830484,
Kepler-1321c,0.214,2.22649109,
Kepler-1322b,0.144,0.96286738,
Kepler-1323b,0.136,0.92990668,
Kepler-1324b,0.135,4.11584468,
Kepler-1325b,0.255,33.8786838,
Kepler-1326b,0.373,42.3514267,
Kepler-1327b,0.161,14.88801098,
Kepler-1328b,0.087,4.52158888,
Kepler-1329b,0.194,9.33646594,
Kepler-1330b,0.147,10.10769068,
Kepler-1331b,0.094,0.78916165,
Kepler-1332b,0.122,11.87456832,
Kepler-1333b,0.251,109.6471842,
Kepler-1334b,0.204,15.64591713,
Kepler-1335b,0.129,6.26406846,
Kepler-1336b,0.177,23.198681,
Kepler-1336c,0.153,5.77721211,
Kepler-1337b,0.215,24.4002549,
Kepler-1338b,0.082,0.93511806,
Kepler-1339b,0.063,1.34155513,
Kepler-1340b,0.138,0.66502692,
Kepler-1341b,0.267,132.9968322,
Kepler-1342b,0.148,2.21571036,
Kepler-1343b,0.172,3.35183158,
Kepler-1344b,0.164,4.7683049,
Kepler-1345b,0.211,44.6169557,
Kepler-1346b,0.141,3.40165668,
Kepler-1347b,0.092,14.00947528,
Kepler-1348b,0.173,27.5722742,
Kepler-1349b,0.062,2.12823928,
Kepler-1350b,0.225,4.4968604,
Kepler-1350c,0.154,1.76678906,
Kepler-1351b,0.058,0.91614077,
Kepler-1352b,0.079,1.87788275,
Kepler-1353b,0.161,24.7543966,
Kepler-1354b,0.265,76.613377,
Kepler-1355b,0.13,1.28958811,
Kepler-1356b,0.136,0.63400294,
Kepler-1357b,0.114,3.0091324,
Kepler-1358b,0.1,7.06317341,
Kepler-1359b,0.252,59.4970952,
Kepler-1360b,0.303,40.5286413,
Kepler-1361b,0.077,3.57554956,
Kepler-1362b,0.232,136.205626,
Kepler-1363b,0.112,2.94194094,
Kepler-1364b,0.192,13.32196237,
Kepler-1365b,0.082,7.69993485,
Kepler-1365c,0.071,4.77468005,
Kepler-1366b,0.128,2.16457097,
Kepler-1367b,0.082,1.57409027,
Kepler-1368b,0.147,0.67564949,
Kepler-1369b,0.24,25.873148,
Kepler-1370b,0.164,20.2641684,
Kepler-1370c,0.113,7.44142113,
Kepler-1371b,0.065,3.4462039,
Kepler-1371c,0.057,2.00541269,
Kepler-1372b,0.113,1.31155557,
Kepler-1373b,0.103,1.29123275,
Kepler-1374b,0.204,10.65276707,
Kepler-1375b,0.155,3.3004192,
Kepler-1376b,0.094,5.30880656,
Kepler-1377b,0.112,0.74092842,
Kepler-1378b,0.196,11.95398936,
Kepler-1379b,0.116,0.88184115,
Kepler-1380b,0.128,10.3108245,
Kepler-1381b,0.201,25.3842686,
Kepler-1382b,0.168,16.3583055,
Kepler-1383b,0.126,13.9093583,
Kepler-1384b,0.173,15.36262753,
Kepler-1385b,0.076,2.88879862,
Kepler-1386b,0.111,6.73972381,
Kepler-1387b,0.083,2.27952666,
Kepler-1388b,0.231,12.2854603,
Kepler-1388c,0.202,5.53608151,
Kepler-1388d,0.255,20.9568158,
Kepler-1388e,0.219,37.6327084,
Kepler-1389b,0.158,99.2530951,
Kepler-1390b,0.105,6.48021673,
Kepler-1391b,0.15,54.4092333,
Kepler-1392b,0.175,15.1410397,
Kepler-1393b,0.071,2.44357812,
Kepler-1394b,0.124,3.93766373,
Kepler-1395b,0.071,3.78470649,
Kepler-1396b,0.185,18.2206421,
Kepler-1397b,0.153,47.449955,
Kepler-1398b,0.08,2.78815679,
Kepler-1398c,0.092,4.13827595,
Kepler-1399b,0.112,1.63865306,
Kepler-1400b,0.145,9.06689421,
Kepler-1401b,0.15,11.20066445,
Kepler-1402b,0.068,2.03387914,
Kepler-1403b,0.191,5.19492202,
Kepler-1404b,0.179,15.9314739,
Kepler-1405b,0.353,28.2274184,
Kepler-1406b,0.098,11.62905828,
Kepler-1407b,0.201,20.0711504,
Kepler-1408b,0.079,2.99793191,
Kepler-1409b,0.093,0.76486493,
Kepler-1410b,0.159,60.866168,
Kepler-1411b,0.252,86.1150888,
Kepler-1412b,0.074,3.6146051,
Kepler-1413b,0.162,13.1829642,
Kepler-1414b,0.11,3.51576315,
Kepler-1415b,0.115,0.63642408,
Kepler-1416b,0.079,1.49514952,
Kepler-1417b,0.089,20.3505213,
Kepler-1418b,0.148,22.4764425,
Kepler-1419b,0.255,42.5215895,
Kepler-1420b,0.114,6.69960006,
Kepler-1421b,0.083,6.9131112,
Kepler-1422b,0.18,18.6051942,
Kepler-1423b,0.095,23.955378,
Kepler-1424b,0.103,29.6091744,
Kepler-1425b,0.084,14.4541302,
Kepler-1426b,0.139,14.2563227,
Kepler-1427b,0.098,0.96897238,
Kepler-1428b,0.146,10.67607169,
Kepler-1429b,0.115,4.48487493,
Kepler-1430b,0.105,2.46050993,
Kepler-1431b,0.131,5.86601526,
Kepler-1432b,0.198,23.9109011,
Kepler-1433b,0.139,4.13592271,
Kepler-1434b,0.099,8.05333618,
Kepler-1435b,0.077,4.45343281,
Kepler-1436b,0.117,9.705716,
Kepler-1437b,0.122,10.9295461,
Kepler-1438b,0.084,2.31942009,
Kepler-1439b,0.13,8.07392849,
Kepler-1440b,0.112,39.859484,
Kepler-1441b,0.117,39.4419839,
Kepler-1442b,0.351,81.4162941,
Kepler-1443b,0.087,2.41811321,
Kepler-1444b,0.194,33.42035034,
Kepler-1445b,0.086,10.60052251,
Kepler-1446b,0.073,0.68996783,
Kepler-1447b,0.259,56.6747285,
Kepler-1448b,0.144,12.27065865,
Kepler-1449b,0.15,13.2274528,
Kepler-1450b,0.153,54.5094166,
Kepler-1451b,0.299,35.622233,
Kepler-1452b,0.241,42.913751,
Kepler-1453b,0.238,47.1611696,
Kepler-1454b,0.168,47.0319479,
Kepler-1455b,0.193,49.276764,
Kepler-1456b,0.102,18.1373829,
Kepler-1457b,0.178,51.1110243,
Kepler-1458b,0.246,47.9872764,
Kepler-1459b,0.121,62.8691611,
Kepler-1460b,0.175,29.9633247,
Kepler-1461b,0.181,29.3494775,
Kepler-1462b,0.341,65.6488341,
Kepler-1463b,0.166,25.15864,
Kepler-1464b,0.148,31.7785901,
Kepler-1464c,0.089,5.32786292,
Kepler-1465b,0.158,31.8277111,
Kepler-1466b,0.138,31.1750448,
Kepler-1467b,0.294,47.0569043,
Kepler-1468b,0.154,8.23984869,
Kepler-1468c,0.103,3.54553021,
Kepler-1469b,0.25,21.8635301,
Kepler-1470b,0.095,16.2950903,
Kepler-1471b,0.126,3.63899398,
Kepler-1472b,0.17,38.1312831,
Kepler-1473b,0.106,14.4273551,
Kepler-1474b,0.193,36.4333452,
Kepler-1475b,0.261,82.177374,
Kepler-1476b,0.149,10.35863224,
Kepler-1477b,0.105,11.55530021,
Kepler-1478b,0.154,26.0840594,
Kepler-1479b,0.163,14.53261362,
Kepler-1480b,0.149,22.12679948,
Kepler-1481b,0.11,5.94220998,
Kepler-1482b,0.09,12.25383217,
Kepler-1483b,0.136,9.5085156,
Kepler-1484b,0.188,30.4549136,
Kepler-1485b,0.131,19.9157725,
Kepler-1486b,0.207,54.6495759,
Kepler-1487b,0.19,7.31946363,
Kepler-1488b,0.166,39.8189932,
Kepler-1489b,0.158,82.294751,
Kepler-1490b,0.271,92.4362973,
Kepler-1491b,0.135,16.5861762,
Kepler-1492b,0.133,16.75255007,
Kepler-1493b,0.126,15.0217983,
Kepler-1494b,0.274,91.080482,
Kepler-1495b,0.262,85.273256,
Kepler-1496b,0.198,64.6588017,
Kepler-1497b,0.148,8.74199772,
Kepler-1498b,0.119,48.051405,
Kepler-1499b,0.106,44.2008,
Kepler-1500b,0.107,15.0330105,
Kepler-1501b,0.139,14.5564533,
Kepler-1502b,0.284,41.7083629,
Kepler-1503b,0.203,96.16987,
Kepler-1504b,0.19,82.304003,
Kepler-1505b,0.083,30.8609366,
Kepler-1506b,0.118,14.0329154,
Kepler-1507b,0.075,16.0506213,
Kepler-1508b,0.119,20.7056504,
Kepler-1509b,0.165,25.4338197,
Kepler-1510b,0.3,84.703921,
Kepler-1511b,0.15,23.2382792,
Kepler-1512b,0.105,20.35972599,
Kepler-1513b,0.755,160.88465087,
Kepler-1514b,1.055,217.8317626,
Kepler-1515b,0.852,214.3114164,
Kepler-1516b,0.156,7.25931979,
Kepler-1517b,0.871,5.54608367,
Kepler-1518b,0.272,5.11177904,
Kepler-1519b,0.63,240.7989397,
Kepler-1520b,0.515,0.65355357,
Kepler-1521b,0.223,47.14840805,
Kepler-1522b,0.154,1.84788917,
Kepler-1523b,0.141,0.93875077,
Kepler-1524b,0.316,70.9674603,
Kepler-1525b,0.081,2.41660118,
Kepler-1526b,0.217,3.908632,
Kepler-1527b,0.426,160.129918,
Kepler-1528b,0.13,1.79111021,
Kepler-1529b,0.187,5.33905686,
Kepler-1530b,0.146,2.5904434,
Kepler-1530c,0.147,5.3227406,
Kepler-1531b,0.099,1.13854338,
Kepler-1532b,0.12,1.09366356,
Kepler-1533b,0.309,308.5471,
Kepler-1534b,0.169,5.71668872,
Kepler-1535b,0.227,138.9442,
Kepler-1536b,0.28,364.758031,
Kepler-1537b,0.105,1.4444538,
Kepler-1538b,0.252,175.138819,
Kepler-1539b,0.241,133.3036741,
Kepler-1540b,0.222,125.4131177,
Kepler-1541b,0.103,8.40691199,
Kepler-1542b,0.068,3.95116882,
Kepler-1542c,0.058,2.89223021,
Kepler-1542d,0.078,5.99273738,
Kepler-1542e,0.068,5.10115756,
Kepler-1543b,0.242,6.96710269,
Kepler-1544b,0.159,168.811174,
Kepler-1545b,0.241,163.692349,
Kepler-1546b,0.279,19.5974971,
Kepler-1547b,0.08,0.69297968,
Kepler-1548b,0.236,124.828679,
Kepler-1549b,0.229,214.886545,
Kepler-1550b,0.269,225.582809,
Kepler-1551b,0.237,24.4973698,
Kepler-1552b,0.22,184.771853,
Kepler-1553b,0.103,4.24261881,
Kepler-1554b,0.259,198.088774,
Kepler-1555b,0.144,8.10501635,
Kepler-1556b,0.175,8.82713457,
Kepler-1557b,0.136,3.74032496,
Kepler-1558b,0.061,3.50470358,
Kepler-1559b,0.064,0.97191543,
Kepler-1560b,0.079,3.03195744,
Kepler-1561b,0.097,1.00520701,
Kepler-1562b,0.317,64.2737752,
Kepler-1563b,0.067,3.43276598,
Kepler-1564b,0.131,18.0540381,
Kepler-1565b,0.106,1.53818844,
Kepler-1566b,0.07,0.53991524,
Kepler-1567b,0.244,153.979578,
Kepler-1568b,0.116,20.925392,
Kepler-1569b,0.15,5.79180156,
Kepler-1570b,0.095,26.548955,
Kepler-1571b,0.136,3.38555488,
Kepler-1572b,0.084,5.49548621,
Kepler-1573b,0.107,2.6157554,
Kepler-1574b,0.115,6.9424334,
Kepler-1575b,0.117,2.55314213,
Kepler-1576b,0.093,6.98471973,
Kepler-1577b,0.101,6.30560247,
Kepler-1578b,0.093,1.45088691,
Kepler-1579b,0.075,0.84990789,
Kepler-1580b,0.188,56.6449279,
Kepler-1581b,0.071,6.28385491,
Kepler-1582b,0.133,4.83817712,
Kepler-1583b,0.054,9.32807355,
Kepler-1584b,0.144,13.3997099,
Kepler-1585b,0.16,3.5827463,
Kepler-1586b,0.136,15.6049212,
Kepler-1587b,0.119,9.4060467,
Kepler-1588b,0.068,7.84931739,
Kepler-1589b,0.097,0.99166527,
Kepler-1590b,0.102,7.61760804,
Kepler-1591b,0.113,8.18504949,
Kepler-1592b,0.137,3.05710069,
Kepler-1593b,0.283,174.509835,
Kepler-1594b,0.095,2.71603809,
Kepler-1595b,0.11,4.56380468,
Kepler-1596b,0.17,66.373379,
Kepler-1597b,0.095,2.94654179,
Kepler-1598b,0.085,4.34195123,
Kepler-1599b,0.145,122.363553,
Kepler-1600b,0.279,386.370548,
Kepler-1601b,0.073,2.20921951,
Kepler-1602b,0.12,11.17931605,
Kepler-1603b,0.115,2.27163926,
Kepler-1604b,0.126,0.68368426,
Kepler-1605b,0.096,85.7565495,
Kepler-1606b,0.185,196.435224,
Kepler-1607b,0.082,13.6473676,
Kepler-1608b,0.154,16.4735686,
Kepler-1609b,0.198,114.34219,
Kepler-1610b,0.144,8.70181574,
Kepler-1611b,0.072,5.1762429,
Kepler-1612b,0.092,3.91795101,
Kepler-1613b,0.186,1.5184299,
Kepler-1614b,0.133,3.9466141,
Kepler-1615b,0.184,47.3126192,
Kepler-1616b,0.091,6.76284377,
Kepler-1617b,0.107,27.4785572,
Kepler-1618b,0.112,6.10826019,
Kepler-1619b,0.068,23.6225913,
Kepler-1620b,0.144,101.951829,
Kepler-1621b,0.193,92.263714,
Kepler-1622b,0.131,10.8118737,
Kepler-1623b,0.117,4.36128348,
Kepler-1624b,0.509,3.29030452,
Kepler-1625b,0.541,287.378949,
Kepler-1626b,0.18,4.13962966,
Kepler-1627b,0.329,7.20283653,
Kepler-1628b,0.574,76.378033,
Kepler-1629b,0.069,3.87595807,
Kepler-1630b,0.195,509.997402,
Kepler-1631b,0.12,4.09513932,
Kepler-1632b,0.22,448.303558,
Kepler-1633b,0.141,186.404271,
Kepler-1634b,0.285,374.876239,
Kepler-1635b,0.325,469.63111,
